,id,slug,status,title,property_type,purchase_type,bedrooms,bathrooms,area,city,state,photo_url,lister,lat,lng,price,createdat,price_per_sq_ft,trends
16,23380,fully-furnished-luxury-24-foot-tiny-house-on-wheels,active,Fully Furnished Luxury- Lot Rent Option or Ship!,Tiny House,purchase,1.0,1.0,190.0,Gainesville,Florida,http://res.cloudinary.com/tinyhouselistings/image/upload/20170815-4-840x630_tqjiuc_eltgj4.jpg,138526,29.62,-82.38,55000.0,2021-02-01,289.47,
17,23379,charming-16-tiny-home-recently-renovated,active,Charming 16' Tiny Home---Recently Renovated!,Tiny House,purchase,0.0,1.0,136.0,Houston,Texas,http://res.cloudinary.com/tinyhouselistings/image/upload/Photo_Shoot_B_13_zktg8j.jpg,141393,29.757561,-95.36525,37500.0,2021-02-01,275.74,
18,23375,very-affordable-tiny-house-on-wheels-mobile,active,"Cedar/Metal Siding, Tankless Water Heater, W/D Combo",Tiny House On Wheels,purchase,1.0,1.0,170.0,Taylors,South Carolina,http://res.cloudinary.com/tinyhouselistings/image/upload/7F5EFD87-36AF-4DC6-B9F3-D56D3180C501_y86pun_gnktss_d3dsik.jpg,138526,35.07,-82.37,44000.0,2021-01-31,258.82,
19,23373,beautifully-renovated-36ft-long-5th-wheel,active,Beautifully renovated 36ft long 5th wheel ,Rv,purchase,1.0,1.0,398.0,Portland ,Oregon,http://res.cloudinary.com/tinyhouselistings/image/upload/08DC580A-28CE-4F42-9857-19440F138780_j0itvv.jpg,167182,45.51,-122.61,32500.0,2021-01-31,81.66,
20,23371,ob-1,active,Modern Tiny Home OB-1,Tiny House,purchase,0.0,1.0,200.0,Palm Beach,Florida,http://res.cloudinary.com/tinyhouselistings/image/upload/6AC4342D-8C53-4F7F-A08C-626B9D48F3EC_grc7hn.jpg,51327,27.190719,-80.236942,39000.0,2021-01-31,195.0,
21,23370,the-ultimate-adventure-bus-ready-for-adventure,active,"The Ultimate Adventure Bus, Ready For Adventure",Converted Bus,purchase,1.0,1.0,201.0,Richmond,Virginia,http://res.cloudinary.com/tinyhouselistings/image/upload/Bus_in_front_of_Sequoias_kauhoh_jq2ro4.jpg,138526,37.51,-77.69,39900.0,2021-01-31,198.51,
22,23368,tiny-house-on-wheels-7f0dd638-7ee4-428a-ab39-ecd847a0dac5,active,Tiny House on Wheels,Tiny House On Wheels,purchase,0.0,1.0,108.0,LOVELAND,Colorado,http://res.cloudinary.com/tinyhouselistings/image/upload/download_6_ebb4sn.jpg,167134,40.41,-105.01,48500.0,2021-01-31,449.07,
23,23356,spacious-2-bedroom-tiny-house,active,Spacious 2 bedroom tiny house!,Tiny House,purchase,2.0,1.0,238.0,FRESNO,California,http://res.cloudinary.com/tinyhouselistings/image/upload/20171019_144854_tkfqmc.jpg,23477,36.81,-119.87,59500.0,2021-01-28,250.0,
24,23354,new-tiny-w-standing-height-bedroom,active,New tiny w/ standing height bedroom!,Tiny House,purchase,2.0,1.0,302.0,Fresno,California,http://res.cloudinary.com/tinyhouselistings/image/upload/Photo_Jan_22_12_20_41_PM_bhssic.jpg,23477,36.81,-119.87,96500.0,2021-01-28,319.54,
25,23353,tiny-house-on-wheels-for-sale-in-florida,active,Tiny House on Wheels for Sale in Florida,Tiny House On Wheels,purchase,0.0,1.0,200.0,Fort Lauderdale ,Florida,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_5964_hsnujv.jpg,166947,26.2,-80.15,45500.0,2021-01-28,227.5,
26,23348,darling-caboose-style-home-with-eco-features,active,"Darling, Caboose-Style home with eco-features",Converted Railcar,purchase,1.0,1.0,390.0,Van Alstyne,Texas,http://res.cloudinary.com/tinyhouselistings/image/upload/20201128_120939_pbhxet.jpg,132236,33.4215,-96.5772,50000.0,2021-01-28,128.21,Eco
27,23342,20-container-home-the-dripping-springs-model,active,"20' Container Home | ""The Dripping Springs"" Model",Container Home,purchase,0.0,1.0,135.0,Austin,Texas,http://res.cloudinary.com/tinyhouselistings/image/upload/Dripping_Springs_1_vkhk8w.jpg,166043,30.13,-97.64,18500.0,2021-01-27,137.04,
28,23340,32-beautiful-custom-tiny-smart-home-tiny_house,active,32' Beautiful Custom Tiny Smart Home,Tiny House,purchase,2.0,1.0,256.0,Menifee,California,http://res.cloudinary.com/tinyhouselistings/image/upload/A7R07879_res6vo_kl1erh.jpg,138526,33.68,-117.17,95000.0,2021-01-27,371.09,
29,23338,beautiful-bus-conversion,active,Beautiful Bus Conversion,Converted Bus,purchase,1.0,1.0,100.0,Los Angeles,California,http://res.cloudinary.com/tinyhouselistings/image/upload/20201027_110448_vaanav_hetsiv.jpg,138526,34.03,-118.19,34000.0,2021-01-27,340.0,
30,23336,perfect-pnw-tiny-house-living,active,Perfect PNW tiny house living!  ,Tiny House,purchase,1.0,1.0,336.0,Anacortes,Washington,http://res.cloudinary.com/tinyhouselistings/image/upload/20210122_130050_ccp1wi.jpg,166799,48.52,-122.61,47040.0,2021-01-26,140.0,
31,23335,dream-tiny-home-12x20-perfect,active,Dream Portable Tiny Home 12x20 Perfect ,Tiny House On Wheels,purchase,1.0,0.0,240.0,Montrose,Colorado,http://res.cloudinary.com/tinyhouselistings/image/upload/EA30801D-1777-4EC9-B464-662E8C301118_drvgpg.jpg,166783,38.37429,-107.798528,22000.0,2021-01-26,91.67,Boho
32,23330,artistic-and-modern-26-dual-loft-tiny-house,active,Artistic and Modern 26' Dual Loft Tiny House,Tiny House,purchase,0.0,1.0,221.0,Spokane,Washington,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_1620_vr8fha_sp9nuk.jpg,141393,47.66,-117.42,59500.0,2021-01-26,269.23,Modern
33,23328,20-x-8-tiny-home-19-350-by-holy-ground-real-estate,active,"20' x 8' Tiny Home $19,350",Tiny House,model,1.0,1.0,160.0,Thornton,Colorado,http://res.cloudinary.com/tinyhouselistings/image/upload/A0201EF6-C8B7-48C7-964C-9DAB36C314D5_hqtgfh.jpg,157948,39.96,-104.99,19350.0,2021-01-25,120.94,
34,23327,tiny-house-trailer-8x22-2-5200-axles,active,"Tiny House Trailer, 8x22', (2)5200# axles",Converted Bus,purchase,0.0,0.0,176.0,Cedarpines Park,California,http://res.cloudinary.com/tinyhouselistings/image/upload/Copy_of_image1_gkl0fm.jpg,166669,34.250015,-117.32091,4100.0,2021-01-25,23.3,
35,23320,elegant-and-simple-converted-school-bus-5-sleeping-spots-and-an-overhauled-engine-converted_bus,active,Elegant and simple converted school bus: 5 sleeping spots and an overhauled engine,Converted Bus,purchase,1.0,0.0,360.0,Delran,New Jersey,http://res.cloudinary.com/tinyhouselistings/image/upload/0_wgnr9g_mhyiyg.jpg,138526,40.01,-74.96,20000.0,2021-01-24,55.56,
36,23315,tiny_house_trailer-mobile,active,18’x8’ and 13’ tall with lots of windows - Unfinished ,Tiny House On Wheels,purchase,0.0,1.0,144.0,Basalt,Colorado,http://res.cloudinary.com/tinyhouselistings/image/upload/4AE43EC1-42BA-463A-A70A-BADA13E893B3_rpesce.jpg,166480,39.37,-107.03,26500.0,2021-01-23,184.03,
37,23310,stunning-42-luxury-tiny-house-for-sale,active,Stunning 42' Luxury Tiny House For Sale,Tiny House,purchase,2.0,1.0,336.0,Austin,Texas,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_3365_txaayc_grweew.jpg,138526,30.19,-97.93,99000.0,2021-01-22,294.64,
39,23307,super-affordable-super-nice-tiny-house-delivered-to-you,active,"Super Affordable, Queen Loft, Flush toilet - Delivery Available",Tiny House,purchase,1.0,1.0,128.0,Taylors,South Carolina,http://res.cloudinary.com/tinyhouselistings/image/upload/3CBCCA93-B9CA-4B47-AA6C-86E39C34FB14_iifv8h_ewwojm.jpg,138526,35.07,-82.37,22000.0,2021-01-22,171.88,
40,23300,unfinished-12x36-on-mobile-home-frame,active,Unfinished 12x36 on mobile home frame,Tiny House On Wheels,purchase,1.0,2.0,432.0,Joshua,Texas,http://res.cloudinary.com/tinyhouselistings/image/upload/5298F508-4EB6-4660-9421-4393268482FC_cze9be.jpg,166328,32.46,-97.38,20000.0,2021-01-21,46.3,
41,23298,our-lockdown-project,active,Our lockdown project,Tiny House,purchase,1.0,1.0,160.0,Mesa,Arizona,http://res.cloudinary.com/tinyhouselistings/image/upload/05E184D0-38D9-4859-8B97-987268F95BB8_ta725v.jpg,165306,33.43,-111.72,37000.0,2021-01-21,231.25,
42,23294,almost-finished-bus-conversion,active,Converted bus.,Converted Bus,purchase,3.0,1.0,224.0,Fort worth,Texas,http://res.cloudinary.com/tinyhouselistings/image/upload/688D67B2-05AC-4E0D-845F-7A5590C2ECA8_zepgbw.jpg,166226,32.91,-97.32,29500.0,2021-01-20,131.7,
43,23293,20-container-home-the-cleveland-model,active,"20' Container Home | ""The Cleveland"" Model",Container Home,purchase,0.0,1.0,160.0,Austin,Texas,http://res.cloudinary.com/tinyhouselistings/image/upload/Cleveland_1_m4dboc.jpg,166043,30.13,-97.64,18450.0,2021-01-20,115.31,
44,23290,beautiful-tiny-cabin-modular-home,active,Beautiful tiny cabin (modular home),Cabin,purchase,0.0,1.0,264.0,Morganton,North Carolina,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_20210120_092320_on24ub.jpg,100890,35.74,-81.72,42708.0,2021-01-20,161.77,Modern
45,23289,off-grid-ready-204-ft-loft-tiny-house-and-shed,active,Off grid ready 204 ft + loft Tiny House and shed,Tiny House,purchase,1.0,1.0,204.0,Pacifica ,California,http://res.cloudinary.com/tinyhouselistings/image/upload/FD2D95A3-1EF2-4C40-A59B-035F572199F4_am4tx2.jpg,166216,37.65,-122.49,55000.0,2021-01-20,269.61,
47,23278,a-tiny-adjustment,active,A Tiny Adjustment - open to offers,Tiny House,purchase,0.0,1.0,192.0,Smyrna,Georgia,http://res.cloudinary.com/tinyhouselistings/image/upload/D9263531-B055-4F5B-A862-C3420FD48883_y0chpt.jpg,41150,33.89,-84.53,36500.0,2021-01-19,190.1,
48,23276,40-container-home-bunkhouse-for-preppers,active,40' Container Home Bunkhouse for Preppers,Container Home,purchase,2.0,1.0,320.0,Elwood,Utah,http://res.cloudinary.com/tinyhouselistings/image/upload/DSC00504_kaqwzd.jpg,85440,41.685344,-112.142047,86500.0,2021-01-19,270.31,
49,23275,nomad-tiny-home-ready-for-your-adventures,active,Nomad Tiny Home Ready for Your Adventures,Tiny House,purchase,1.0,1.0,192.0,Bayfield,Colorado,http://res.cloudinary.com/tinyhouselistings/image/upload/3_entrance_ggcddv.jpg,24128,37.24,-107.59,65000.0,2021-01-19,338.54,
50,23272,beneath-the-bark-handcrafted-23-custom-tiny-home,active,Beneath the Bark- Handcrafted 23' Custom Tiny Home,Tiny House,purchase,0.0,1.0,184.0,Incline Valley,Nevada,http://res.cloudinary.com/tinyhouselistings/image/upload/MAK_2563_mb3gmj_fynkk0.jpg,141393,39.24516,-119.947816,89000.0,2021-01-19,483.7,
51,23270,40-dog-nose-skoolie,active,40' dog-nose skoolie,Rv,purchase,1.0,1.0,200.0,Colorado Springs,Colorado,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_4650_gsongv.jpg,166078,38.82,-104.76,38500.0,2021-01-18,192.5,
52,23269,20-container-home-the-beaumont-model,active,"20' Container Home | ""The Beaumont"" Model",Container Home,purchase,0.0,1.0,135.0,Austin,Texas,http://res.cloudinary.com/tinyhouselistings/image/upload/Beaumont_1_y0opim.jpg,166043,30.13,-97.64,19450.0,2021-01-18,144.07,
53,23465,beautiful-30-tiny-home-never-lived-in-tiny_house,active,"Beautiful 30' Tiny Home, never lived in",Tiny House,purchase,2.0,1.0,340.0,Carpinteria,California,http://res.cloudinary.com/tinyhouselistings/image/upload/e9600ab2d7d34f51aceb74fc6869d78f_u3lsf9_a3lbad_zuouer.jpg,138526,34.4,-119.52,78000.0,2021-02-17,229.41,
54,23464,20-ft-high-cube-container-guest-house-container_home-mobile,active,Beautiful 20' Container Home Ready To Be Shipped,Container Home,purchase,1.0,1.0,160.0,Redlands,California,http://res.cloudinary.com/tinyhouselistings/image/upload/Screen_Shot_2021-01-19_at_8.50.27_AM_sdczlt_d0wakh.jpg,138526,34.07,-117.21,44000.0,2021-02-17,275.0,
55,23462,tiny-cedar-cabin-on-wheels,active,Tiny cedar cabin on wheels,Tiny House On Wheels,purchase,1.0,1.0,224.0,Portland,Oregon,http://res.cloudinary.com/tinyhouselistings/image/upload/58FA8056-AC15-4DF1-BFA8-BFDF81432EB4_ay09qz.jpg,48812,45.49,-122.58,65000.0,2021-02-17,290.18,Treehouse
56,23461,custom-designed-mobile-tiny-home-off-grid-ready,active,Custom Designed Mobile Tiny Home - Off Grid Ready,Tiny House On Wheels,purchase,1.0,1.0,256.0,Durham,North Carolina,http://res.cloudinary.com/tinyhouselistings/image/upload/Tiny_Home_1_olqjwk.jpg,168350,35.99,-78.87,80000.0,2021-02-16,312.5,
57,23460,cute-cabin-in-the-woods,active,Cute tiny house in the woods ,Tiny House,purchase,1.0,1.0,160.0,UNITY,New Hampshire,http://res.cloudinary.com/tinyhouselistings/image/upload/FB_IMG_1613440844931_leksoe.jpg,133196,43.37,-72.34,90000.0,2021-02-16,562.5,
59,23450,ready-to-move-32ft-tiny-house-yorba,pending_changes,Ready to Move - 32ft Tiny House Yorba ,Tiny House,purchase,1.0,1.0,220.0,Greensboro,North Carolina,http://res.cloudinary.com/tinyhouselistings/image/upload/20201023_181743_xtg6xn.jpg,60842,36.09,-79.89,78500.0,2021-02-14,356.82,
60,23449,21-converted-skoolie-2004-ford-e-450,active,21' Converted Skoolie--2004 Ford E-450 ,Converted Bus,purchase,2.0,0.0,125.0,Croton on Hudson,New York,http://res.cloudinary.com/tinyhouselistings/image/upload/102C5612-C304-4253-8734-2AB432A82485-712-0000003C6C52F57B_eyrl5r_yrpj3m.jpg,141393,41.19,-73.88,56000.0,2021-02-14,448.0,
61,23446,cozy-tiny-home-tiny_house,active,Cozy Tiny Home,Tiny House,purchase,1.0,1.0,260.0,Ironton,Ohio,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_1301_yrwgky.jpg,168510,38.53,-82.67,30000.0,2021-02-14,115.38,
62,23442,399-sq-ft-park-model-tiny-house-with-parking,active,399 Sq ft Park Model/Tiny House with Parking!!!!!!,Tiny House,purchase,1.0,1.0,399.0,Conroe,Texas,http://res.cloudinary.com/tinyhouselistings/image/upload/A44DE8A9-6439-4E0C-BC42-6F636797E53D_mmwndf_lhbecq.jpg,141393,30.27,-95.42,66000.0,2021-02-12,165.41,
63,23441,custom-energy-efficient-tiny-house-off-grid-ready,active,Custom Energy Efficient Tiny House - Off Grid Ready,Tiny Eco House,purchase,0.0,1.0,192.0,Durham,North Carolina,http://res.cloudinary.com/tinyhouselistings/image/upload/2020-06-03_akndc8.jpg,168350,35.99,-78.87,59000.0,2021-02-12,307.29,Eco
65,23434,320-sf-new-construction-container-home,active,320 SF New Construction Container Home,Container Home,model,1.0,1.0,320.0,Redlands,California,http://res.cloudinary.com/tinyhouselistings/image/upload/Front_utcylp.jpg,153417,34.07,-117.21,76900.0,2021-02-10,240.31,
66,23433,20-plus-tiny-house-on-off-grid-ready,active,20' Plus Tiny House On/off grid ready,Tiny House,purchase,2.0,1.0,160.0,Hutchinson,Minnesota,http://res.cloudinary.com/tinyhouselistings/image/upload/20201116_145322_rbparj.jpg,29397,44.88,-94.38,36500.0,2021-02-10,228.12,
67,23429,gorgeous-32-long-rvia-certified-tiny-home,active,32' Gorgeous  RVIA Certified Tiny House,Converted Bus,purchase,3.0,1.0,368.0,Sacramento,California,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG-4776_h9olat.jpg,168154,38.65,-121.12,86000.0,2021-02-10,233.7,
68,23428,tiny-home-anana,active,Tiny Home Anana,Tiny House,purchase,2.0,2.0,200.0,Kissimmee,Florida,http://res.cloudinary.com/tinyhouselistings/image/upload/46292E21-47DD-4D48-9094-40824FA0D741_zvfhoz.jpg,101650,28.33,-81.51,30000.0,2021-02-10,150.0,
69,23422,2020-perch-nest-roost12,active,2020 Perch&Nest Roost12,Rv,purchase,1.0,1.0,84.0,Winston Salem,North Carolina,http://res.cloudinary.com/tinyhouselistings/image/upload/Screen-Shot-2020-07-16-at-9.38.30-AM-1_sbytdx.jpg,22049,36.17,-80.28,20000.0,2021-02-08,238.1,
70,22990,edna-the-tiny-home-tiny_house,active,Edna the Tiny Home ,Tiny House,purchase,1.0,1.0,256.0,North Augusta,South Carolina,http://res.cloudinary.com/tinyhouselistings/image/upload/DSCF0700_pcu55n.jpg,156744,33.5,-81.96,70000.0,2020-12-08,273.44,
72,22957,beautiful-tiny-home-newly-built,active,Beautiful Tiny Home. Newly built.,Tiny House,purchase,1.0,1.0,270.0,SHIPSHEWANA,Indiana,http://res.cloudinary.com/tinyhouselistings/image/upload/DSCN1891_bsxr6w.jpg,161584,41.69,-85.58,44000.0,2020-12-05,162.96,
73,22955,farmhouse-container-home-container_home,active,Farmhouse Container Home,Container Home,purchase,1.0,1.0,240.0,Queen Creek,Arizona,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_2317_zziavb.jpg,103079,33.25,-111.63,74900.0,2020-12-04,312.08,Farmhouse
74,22951,gorgeous-20-tiny-house-wheels-tiny_house,active,FURNISHED NEW Deluxe Tiny w/ Skylights & Appliances,Tiny House,purchase,0.0,1.0,230.0,Webster,Massachusetts,http://res.cloudinary.com/tinyhouselistings/image/upload/Tiny_House_18_qj9wzi_novhuc.jpg,138526,42.05,-71.88,72000.0,2020-12-04,313.04,
75,22946,modern-butterfly-customize-to-your-liking,active,Modern Butterfly- Customize to Your Liking!,Tiny House,purchase,1.0,1.0,533.0,Madison,Wisconsin,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_7207_c3sdo4_pxomyw.jpg,141393,43.01,-89.29,66000.0,2020-12-04,123.83,Modern
76,22945,urban-oasis-one-level-tiny-house-personalize-to-your-taste,active,"Urban Oasis, One Level Tiny House- Personalize to Your Taste!",Tiny House,purchase,1.0,0.0,392.0,Madison,Wisconsin,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_7651_2_tkoykd_gd1slw.jpg,141393,43.01,-89.29,71500.0,2020-12-04,182.4,Urban
77,22940,31-premium-tiny-house-with-main-floor-bedroom,active,31' Premium Tiny House with Main Floor Bedroom,Tiny House,purchase,1.0,1.0,280.0,Bend,Oregon,http://res.cloudinary.com/tinyhouselistings/image/upload/Adventure_Abode-5009_df6kw4.jpg,57256,44.05,-121.32,115000.0,2020-12-03,410.71,
78,22939,modern-minim-tiny-house,active,Modern Minim Tiny House,Tiny House,purchase,0.0,1.0,288.0,Madison,Wisconsin,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_9879_eucaf3_ahhk2k.jpg,141393,43.01,-89.29,55000.0,2020-12-02,190.97,Minimalism
79,22938,2020-tumbleweed-cypress-30-tiny-home,active, 2020 Tumbleweed Cypress 30' Tiny Home!,Tiny House,purchase,2.0,1.0,255.0,Rapid City,South Dakota,http://res.cloudinary.com/tinyhouselistings/image/upload/Morrison_Tinyhome-12_reezhi.jpg,161298,44.1,-103.15,94900.0,2020-12-02,372.16,
80,23268,20-container-home-the-abilene-model,active,"20' Container Home | ""The Abilene"" Model",Container Home,purchase,0.0,1.0,135.0,Austin,Texas,http://res.cloudinary.com/tinyhouselistings/image/upload/Abilene_1_vxf8s1.jpg,166043,30.13,-97.64,17450.0,2021-01-18,129.26,
81,23265,2017-perch-nest-roost18-certified-travel-trailer-rv,active,2017 Perch&Nest Roost18 (Certified Travel Trailer RV),Converted Bus,purchase,1.0,1.0,135.0,Duck,West Virginia,http://res.cloudinary.com/tinyhouselistings/image/upload/download_qp4r1j.jpg,22049,38.62,-80.93,65000.0,2021-01-18,481.48,
82,23264,champion-homes-tiny-house,active,Champion Homes Tiny House ,Tiny House,purchase,1.0,1.0,399.0,Loveland ,Colorado,http://res.cloudinary.com/tinyhouselistings/image/upload/7FA8817B-8568-4E8D-A952-9549011C418E_alujfo.jpg,165983,40.41,-105.01,67900.0,2021-01-18,170.18,
83,23260,2015-homebuilt-tumbleweed,active,2015 homebuilt Tumbleweed,Tiny House,purchase,1.0,1.0,192.0,Redding,California,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_20210110_160202_i4gka9.jpg,53994,40.59,-122.35,60000.0,2021-01-17,312.5,
84,23256,bright-warm-and-spacious-maine-tiny-home,active,"Bright, warm  and spacious Maine tiny home!",Tiny House,purchase,1.0,1.0,223.0,Aurora,Maine,http://res.cloudinary.com/tinyhouselistings/image/upload/VUbWIOl1TxS5WQzFFEn0pQ_r2tmbn.jpg,165841,44.868295,-68.243953,36000.0,2021-01-16,161.43,
85,23246,tiny-duplex,active,Tiny Duplex,Tiny House,purchase,3.0,2.0,399.0,Kennesaw,Georgia,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_5741_Edited_zm7fqk.jpg,135075,34.0,-84.62,30600.0,2021-01-14,76.69,
86,23245,tiny-condo-affordable-unique-layout-tiny_house-stationary,active,"Tiny Condo - Affordable, Unique Layout",Tiny House,purchase,2.0,2.0,399.0,Kennesaw,Georgia,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_5938_1_k8pcwr.jpg,135075,34.028953,-84.650979,26500.0,2021-01-14,66.42,
87,23244,tiny-bungalow-399-sq-ft,active,Tiny Bungalow - 399 sq ft,Tiny House,purchase,3.0,1.0,399.0,Kennesaw,Georgia,http://res.cloudinary.com/tinyhouselistings/image/upload/Bungalow_Edited_2_ll0iau.jpg,135075,34.0,-84.62,30000.0,2021-01-14,75.19,
88,23243,unique-geometric-25-tiny-house,active,Unique Geometric 25' Tiny House,Tiny House,purchase,1.0,1.0,200.0,Newbury,Massachusetts,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_65371_y2kimd_owl4dp.jpg,141393,42.75,-70.9,88000.0,2021-01-14,440.0,
89,23241,custom-tiny-house-built-2019,active,Custom tiny house built 2019,Tiny House,purchase,1.0,1.0,144.0,Plattsburg ,Missouri,http://res.cloudinary.com/tinyhouselistings/image/upload/A464DDEA-E9D3-487E-B0FB-8AFBC1D47A4E_kfnzgl.jpg,165672,39.56,-94.46,24500.0,2021-01-14,170.14,
